customer_id,tenure_months,monthly_spend,monthly_usage_gb,call_minutes,message_count,days_since_last_payment,complaints_count,is_churned,tenure_bucket,usage_per_spend,payment_recency_bucket,plan_premium,plan_standard
CUS0003581,27.0,96.87,2.13,434,288,11,1,0,"(24, 48]",0.021988231650665838,"(7, 30]",True,False
CUS0006294,15.0,19.61,13.41,26,183,44,0,0,"(12, 24]",0.6838347781744009,"(30, 60]",False,False
CUS0000966,57.0,10.3,4.52,115,235,9,0,0,"(48, 72]",0.43883495145631063,"(7, 30]",False,False
CUS0001903,43.0,74.98,4.43,557,150,46,1,0,"(24, 48]",0.059082421979194444,"(30, 60]",True,False
CUS0007646,45.0,25.34,3.47,564,39,10,2,0,"(24, 48]",0.13693764798737176,"(7, 30]",False,False
CUS0001515,21.0,15.83,9.73,801,124,39,1,0,"(12, 24]",0.6146557169930512,"(30, 60]",False,False
CUS0005184,51.0,55.52662624177525,8.57,196,239,36,0,1,"(48, 72]",0.15434036929750278,"(30, 60]",True,False
CUS0006291,53.0,16.5,17.01,946,145,4,2,0,"(48, 72]",1.030909090909091,"(-1, 7]",False,False
CUS0002158,16.0,63.18,12.53,577,198,16,1,0,"(12, 24]",0.1983222538778094,"(7, 30]",False,True
CUS0002578,72.0,54.32,9.02,944,202,2,1,0,"(48, 72]",0.16605301914580264,"(-1, 7]",False,True
CUS0006440,40.0,25.31,9.4,434,277,12,1,0,"(24, 48]",0.37139470564994076,"(7, 30]",False,False
CUS0001859,15.0,83.63,19.96,679,24,43,1,0,"(12, 24]",0.23867033361234008,"(30, 60]",True,False
CUS0003022,38.0,112.78,19.69,633,286,28,1,0,"(24, 48]",0.1745876928533428,"(7, 30]",True,False
CUS0002028,13.0,118.26,13.31,171,145,10,1,0,"(12, 24]",0.11254862168104177,"(7, 30]",True,False
CUS0003293,42.0,56.54,7.38,541,222,51,4,1,"(24, 48]",0.13052706048815,"(30, 60]",False,True
CUS0005763,30.0,18.38,2.54,825,52,22,0,0,"(24, 48]",0.1381936887921654,"(7, 30]",False,False
CUS0002423,53.0,32.6,7.09,286,80,29,2,1,"(48, 72]",0.2174846625766871,"(7, 30]",False,True
CUS0002771,5.0,44.44,6.76,384,67,38,4,1,"(0, 6]",0.15211521152115212,"(30, 60]",False,True
CUS0000817,31.0,55.52662624177525,4.46,508,14,18,2,1,"(24, 48]",0.08032182579543318,"(7, 30]",True,False
CUS0002832,13.0,65.91,3.99,775,25,10,0,0,"(12, 24]",0.060537096040054625,"(7, 30]",False,True
CUS0001259,32.0,18.39,10.44,333,155,8,0,0,"(24, 48]",0.567699836867863,"(7, 30]",False,False
CUS0000603,39.0,28.45,0.0,349,262,0,1,0,"(24, 48]",0.0,"(-1, 7]",False,False
CUS0000467,42.0,27.83,8.218195789745577,191,243,52,0,0,"(24, 48]",0.2952998846477031,"(30, 60]",False,False
CUS0003324,1.0,31.8,2.67,945,44,2,0,0,"(0, 6]",0.08396226415094339,"(-1, 7]",False,True
CUS0007349,23.0,11.38,16.66,973,210,38,5,1,"(12, 24]",1.4639718804920914,"(30, 60]",False,False
CUS0007087,6.0,22.75,8.218195789745577,603,170,7,1,0,"(0, 6]",0.361239375373432,"(-1, 7]",False,False
CUS0001571,24.0,116.72,12.61,476,150,30,5,0,"(12, 24]",0.10803632625085675,"(7, 30]",True,False
CUS0003128,4.0,49.17,13.69,690,25,23,7,1,"(0, 6]",0.27842180191173477,"(7, 30]",False,True
CUS0000676,43.0,19.36,12.25,703,206,10,0,0,"(24, 48]",0.6327479338842975,"(7, 30]",False,False
CUS0001124,71.0,26.36,9.54,365,250,27,0,0,"(48, 72]",0.3619119878603945,"(7, 30]",False,False
CUS0005948,26.0,43.63885951963101,0.0,822,85,33,6,1,"(24, 48]",0.0,"(30, 60]",True,False
CUS0007149,13.0,69.25,12.86,114,38,17,2,1,"(12, 24]",0.18570397111913356,"(7, 30]",False,True
CUS0005495,19.0,80.57,14.88,496,75,43,0,0,"(12, 24]",0.18468412560506395,"(30, 60]",True,False
CUS0007998,70.0,13.68,0.0,558,37,19,5,1,"(48, 72]",0.0,"(7, 30]",False,False
CUS0002160,5.0,12.19,0.0,753,273,86,0,0,"(0, 6]",0.0,,False,False
CUS0003124,45.0,26.01,8.02,613,255,27,0,1,"(24, 48]",0.3083429450211457,"(7, 30]",False,False
CUS0007783,19.0,23.04,2.9,462,208,21,1,0,"(12, 24]",0.12586805555555555,"(7, 30]",False,False
CUS0007112,32.0,15.1,4.52,299,223,7,0,0,"(24, 48]",0.2993377483443708,"(-1, 7]",False,False
CUS0007092,57.0,15.23,2.02,604,99,9,1,0,"(48, 72]",0.13263296126066973,"(7, 30]",False,False
CUS0004489,45.0,55.52662624177525,7.49,888,248,25,5,0,"(24, 48]",0.13489024107798084,"(7, 30]",False,False
CUS0001619,23.0,47.11,6.12,549,107,15,5,1,"(12, 24]",0.1299087242623647,"(7, 30]",False,True
CUS0003844,23.0,11.27,3.17,402,297,35,5,0,"(12, 24]",0.28127772848269744,"(30, 60]",False,False
CUS0001682,30.0,13.78,5.23,456,105,58,2,1,"(24, 48]",0.37953555878084183,"(30, 60]",False,False
CUS0005715,61.0,18.79,2.1,855,152,58,0,0,"(48, 72]",0.11176157530601384,"(30, 60]",False,False
CUS0004861,52.0,34.83,1.38,724,283,5,1,0,"(48, 72]",0.03962101636520241,"(-1, 7]",False,True
CUS0001377,9.0,66.21,2.86,210,140,29,1,0,"(6, 12]",0.043195891859235766,"(7, 30]",False,True
CUS0001066,58.0,109.61,6.36,9,216,6,0,0,"(48, 72]",0.058023902928564915,"(-1, 7]",True,False
CUS0007946,60.0,25.69,8.08,893,78,28,2,0,"(48, 72]",0.3145192681977423,"(7, 30]",False,False
CUS0005536,47.0,19.17,0.0,92,40,17,0,0,"(24, 48]",0.0,"(7, 30]",False,False
CUS0002940,32.0,29.32,8.74,701,207,33,0,0,"(24, 48]",0.2980900409276944,"(30, 60]",False,False
CUS0004450,50.0,67.24,0.0,469,197,38,0,0,"(48, 72]",0.0,"(30, 60]",False,True
CUS0003048,72.0,65.7,1.87,185,191,54,2,0,"(48, 72]",0.028462709284627092,"(30, 60]",False,True
